feature,shap_importance
feature_39,0.01148656157120102
feature_149,0.009115721034077656
feature_72,0.005571387444095368
feature_60,0.0046296636981303105
feature_56,0.004122616997910735
feature_129,0.004019285382430941
feature_83,0.003330189869741397
feature_34,0.0032741721058874474
feature_54,0.0024869966083049424
feature_31,0.001969694199823893
feature_111,0.0017295136785899722
feature_78,0.0016149685868251018
feature_84,0.0015077721840675894
feature_161,0.0013589890097779078
feature_140,0.001255173355447349
feature_125,0.0012206382504478357
feature_86,0.0012096804135093727
feature_183,0.0011663296406055769
feature_43,0.001119945874180373
feature_33,0.0010818057740032707
feature_14,0.0010401115894401176
feature_100,0.001024223266283774
feature_114,0.0010203010633705945
feature_97,0.0008183400457709811
feature_58,0.0008107602153050432
feature_123,0.0007718307988814428
feature_2,0.0007681144950257413
feature_164,0.0007529421479419648
feature_88,0.0007242241724342574
feature_144,0.0007083125735573795
feature_136,0.0006785970236326949
feature_116,0.0006783271423030389
feature_119,0.0006630929001101812
feature_61,0.0006614099712714961
feature_197,0.0006575686334845771
feature_160,0.0006443672804352426
feature_22,0.0006255349257111892
feature_170,0.0006164171913406325
feature_11,0.0006046828266272236
feature_50,0.0006008191967415822
feature_109,0.0005989969930064774
feature_113,0.0005986782384320078
feature_28,0.0005704318433048098
feature_134,0.0005690887792343971
feature_47,0.0005412224290707159
feature_133,0.0005331803738114438
feature_9,0.000473409547882438
feature_73,0.0004459921811147883
feature_156,0.0004437423709439463
feature_198,0.0004161525971716094
feature_21,0.0003930795089026613
feature_55,0.0003857546838325841
feature_103,0.00038521984111327025
feature_24,0.00037270613362884865
feature_122,0.0003684481471164098
feature_184,0.0003589810699982575
feature_162,0.0003451561962091552
feature_48,0.00033046332861552945
feature_82,0.00031857149308022836
feature_155,0.0003065621987581464
feature_199,0.00029950289290395357
feature_3,0.00026271570220870303
feature_153,0.00026218240146021345
feature_196,0.0002518003393845942
feature_76,0.0002497852063877257
feature_93,0.0002460245182431621
feature_176,0.0002260328603892395
feature_49,0.00021727163034844006
feature_20,0.00021371319602752874
feature_74,0.0002075175142486903
feature_148,0.00019465719002703004
feature_38,0.0001499456271268298
feature_19,0.00014744137449658324
feature_4,0.00014488565171524726
feature_108,0.00014271130112478628
feature_91,0.0001423062674528601
feature_194,0.00013948954082699342
feature_95,0.000137256794701265
feature_44,0.00013287121527463678
feature_66,0.00011590953281873173
feature_8,0.00011548456181083801
feature_81,0.00011159350780782994
feature_99,0.00010237877961367231
feature_157,9.657870286509026e-05
feature_151,9.130247280222119e-05
feature_25,7.533739265722326e-05
feature_143,6.399534449607843e-05
feature_45,4.124990548053285e-05
feature_169,3.826350678468675e-05
feature_141,0.0
feature_182,0.0
feature_185,0.0
feature_186,0.0
feature_187,0.0
feature_188,0.0
feature_142,0.0
feature_189,0.0
feature_181,0.0
feature_139,0.0
feature_190,0.0
feature_191,0.0
feature_138,0.0
feature_192,0.0
feature_137,0.0
feature_193,0.0
feature_135,0.0
feature_195,0.0
feature_145,0.0
feature_147,0.0
feature_180,0.0
feature_146,0.0
feature_163,0.0
feature_165,0.0
feature_158,0.0
feature_166,0.0
feature_167,0.0
feature_132,0.0
feature_168,0.0
feature_154,0.0
feature_171,0.0
feature_172,0.0
feature_173,0.0
feature_152,0.0
feature_174,0.0
feature_175,0.0
feature_177,0.0
feature_150,0.0
feature_178,0.0
feature_179,0.0
feature_159,0.0
feature_1,0.0
feature_101,0.0
feature_131,0.0
feature_51,0.0
feature_36,0.0
feature_37,0.0
feature_40,0.0
feature_41,0.0
feature_42,0.0
feature_46,0.0
feature_52,0.0
feature_130,0.0
feature_53,0.0
feature_57,0.0
feature_59,0.0
feature_62,0.0
feature_63,0.0
feature_64,0.0
feature_35,0.0
feature_32,0.0
feature_30,0.0
feature_29,0.0
feature_27,0.0
feature_26,0.0
feature_23,0.0
feature_18,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_7,0.0
feature_6,0.0
feature_5,0.0
feature_65,0.0
feature_67,0.0
feature_68,0.0
feature_104,0.0
feature_128,0.0
feature_127,0.0
feature_126,0.0
feature_124,0.0
feature_121,0.0
feature_120,0.0
feature_118,0.0
feature_117,0.0
feature_115,0.0
feature_112,0.0
feature_110,0.0
feature_107,0.0
feature_106,0.0
feature_105,0.0
feature_102,0.0
feature_69,0.0
feature_98,0.0
feature_96,0.0
feature_94,0.0
feature_92,0.0
feature_90,0.0
feature_89,0.0
feature_87,0.0
feature_85,0.0
feature_80,0.0
feature_79,0.0
feature_77,0.0
feature_75,0.0
feature_71,0.0
feature_70,0.0
feature_200,0.0
