feature,shap_importance
feature_61,0.011578014057875452
feature_48,0.010359628699751527
feature_72,0.005102877960956497
feature_5,0.004865946304390298
feature_52,0.004640388239350472
feature_75,0.00414321491923868
feature_17,0.003442389866049017
feature_69,0.003372948761780163
feature_70,0.002926558994195959
feature_33,0.0023939543241872263
feature_66,0.002055393220357685
feature_49,0.001966848952080208
feature_78,0.0018182471772899317
feature_77,0.0015862134663731406
feature_51,0.0015056688306812973
feature_85,0.0014414076237590605
feature_138,0.0014170683164353574
feature_10,0.0014127423182276294
feature_76,0.0013845131863863308
feature_63,0.0013765648983995753
feature_67,0.0013717041488344106
feature_257,0.0013692827470445181
feature_7,0.0012955494683502544
feature_105,0.0011341313939299805
feature_22,0.0011191936415592936
feature_108,0.0010415424269119506
feature_97,0.0010341965182727767
feature_16,0.0009912226272605362
feature_114,0.0009554520288350171
feature_39,0.0009184733236738715
feature_46,0.0008254383423025763
feature_84,0.0008074476778650792
feature_112,0.0007126905061658827
feature_30,0.0006987403159862442
feature_6,0.0006183223033633961
feature_100,0.0006125010685790003
feature_4,0.0006000239453999305
feature_34,0.0005801650468833175
feature_32,0.0005800299134089931
feature_21,0.0005694107658670572
feature_23,0.0005454331187231623
feature_238,0.0005298730195071045
feature_111,0.0005081528797194958
feature_102,0.000506130958563057
feature_110,0.00047678229669302895
feature_9,0.00046309807597885646
feature_98,0.00044483099206361654
feature_89,0.00044212525523597393
feature_24,0.0004340388243587895
feature_45,0.0004246852776162367
feature_40,0.00041366594772022024
feature_12,0.00038768591392612084
feature_109,0.0003765450552282383
feature_99,0.0003721532024050467
feature_3,0.0003684149121621345
feature_2,0.00036825861302824237
feature_95,0.00034167637594215323
feature_103,0.00034082806060532517
feature_83,0.0003360908350384635
feature_14,0.0003125587417694005
feature_37,0.00030919459758688156
feature_86,0.00030017059754758096
feature_27,0.0002754706633500987
feature_113,0.00027528855655502646
feature_104,0.00027268764769123433
feature_81,0.00026812938492938067
feature_94,0.00026218734787078035
feature_206,0.0002518076400229994
feature_28,0.00021740741302757154
feature_43,0.00021067874547344692
feature_101,0.00020531107168622096
feature_35,0.00020045263561145068
feature_20,0.0001894419470340792
feature_8,0.0001893795375436502
feature_213,0.0001873743962487111
feature_42,0.00017136122783056035
feature_79,0.00015955816532143904
feature_246,0.00015359854302987366
feature_233,0.00014874180907264116
feature_41,0.00014606596100784523
feature_107,0.00013408781224803515
feature_80,0.00013150525357045535
feature_87,0.00012490127853412539
feature_36,0.00011879244332774575
feature_60,0.00010282790644923491
feature_71,7.229760429036063e-05
feature_11,6.968575642035332e-05
feature_154,5.691529372968273e-05
feature_1,5.621411218546414e-05
feature_254,4.934251420992659e-05
feature_250,3.7513704041207364e-05
feature_82,3.7100053809240504e-05
feature_90,0.0
feature_205,0.0
feature_197,0.0
feature_198,0.0
feature_199,0.0
feature_200,0.0
feature_201,0.0
feature_202,0.0
feature_203,0.0
feature_204,0.0
feature_207,0.0
feature_25,0.0
feature_195,0.0
feature_208,0.0
feature_209,0.0
feature_210,0.0
feature_211,0.0
feature_212,0.0
feature_19,0.0
feature_196,0.0
feature_193,0.0
feature_194,0.0
feature_184,0.0
feature_177,0.0
feature_178,0.0
feature_179,0.0
feature_180,0.0
feature_181,0.0
feature_182,0.0
feature_183,0.0
feature_185,0.0
feature_215,0.0
feature_186,0.0
feature_187,0.0
feature_188,0.0
feature_189,0.0
feature_190,0.0
feature_191,0.0
feature_192,0.0
feature_214,0.0
feature_217,0.0
feature_216,0.0
feature_175,0.0
feature_15,0.0
feature_239,0.0
feature_240,0.0
feature_241,0.0
feature_242,0.0
feature_243,0.0
feature_244,0.0
feature_245,0.0
feature_13,0.0
feature_247,0.0
feature_248,0.0
feature_249,0.0
feature_251,0.0
feature_252,0.0
feature_253,0.0
feature_255,0.0
feature_256,0.0
feature_237,0.0
feature_236,0.0
feature_235,0.0
feature_225,0.0
feature_218,0.0
feature_219,0.0
feature_220,0.0
feature_221,0.0
feature_222,0.0
feature_223,0.0
feature_224,0.0
feature_226,0.0
feature_234,0.0
feature_227,0.0
feature_228,0.0
feature_229,0.0
feature_230,0.0
feature_231,0.0
feature_232,0.0
feature_18,0.0
feature_176,0.0
feature_174,0.0
feature_91,0.0
feature_47,0.0
feature_38,0.0
feature_115,0.0
feature_116,0.0
feature_117,0.0
feature_118,0.0
feature_119,0.0
feature_120,0.0
feature_121,0.0
feature_122,0.0
feature_123,0.0
feature_124,0.0
feature_125,0.0
feature_126,0.0
feature_127,0.0
feature_128,0.0
feature_31,0.0
feature_130,0.0
feature_44,0.0
feature_50,0.0
feature_132,0.0
feature_53,0.0
feature_92,0.0
feature_93,0.0
feature_88,0.0
feature_96,0.0
feature_74,0.0
feature_73,0.0
feature_68,0.0
feature_65,0.0
feature_64,0.0
feature_62,0.0
feature_59,0.0
feature_58,0.0
feature_57,0.0
feature_106,0.0
feature_56,0.0
feature_55,0.0
feature_54,0.0
feature_131,0.0
feature_133,0.0
feature_173,0.0
feature_26,0.0
feature_156,0.0
feature_157,0.0
feature_158,0.0
feature_159,0.0
feature_160,0.0
feature_161,0.0
feature_162,0.0
feature_163,0.0
feature_164,0.0
feature_165,0.0
feature_166,0.0
feature_167,0.0
feature_168,0.0
feature_169,0.0
feature_170,0.0
feature_171,0.0
feature_172,0.0
feature_155,0.0
feature_153,0.0
feature_134,0.0
feature_152,0.0
feature_135,0.0
feature_136,0.0
feature_137,0.0
feature_29,0.0
feature_139,0.0
feature_140,0.0
feature_141,0.0
feature_142,0.0
feature_143,0.0
feature_144,0.0
feature_145,0.0
feature_146,0.0
feature_147,0.0
feature_148,0.0
feature_149,0.0
feature_150,0.0
feature_151,0.0
feature_129,0.0
